sentence	label
居然 会 吃 到 这么 长 一条 虫 恶心 死人 啦 我 都 已经 吃 了 两口 啦 巴 贝拉 你们 也 真够 可以 的 啊	0
上菜 速度 快 口味 也 不错 停车 也 方便	1
蛙 只有 糊辣壳 味 没 评论 说 的 那么 好吃 阿 而且 好几个 皮 都 没有 刮 干净 冷漠	0
超级 好吃 已经 吃 过 很 多次 啦 一如既往	1
很 不错 挺 凉快 的 分量 有 点点 少 但 味道 比德 香苑 的 好吃 服务 热情 上菜 也 有点 慢	1
要 了 一份 粉 加 了 一个 鸡腿 我 吃 到 鸡腿 变味 了 一股 变质 的 味道 卤鸡 腿	0
老 顾客 了 每次 都 很 满意 菜品 分量 也 很 足	1
五花肉 拌 饭 和 平时 吃 的 拌 饭 差距 太 大 不 好吃 带子 粉丝 还 比较 好吃 团圆 土豆 土豆 藕片 根本 是 生 的 怎么 吃 怎么 吃	0
就 这 晚上 不 知道 你们 卖 的 什么 东西 吃 了 拉肚子 难受 不 卫生	0
上班 每天 中午 都 点 外卖 昨天中午 吃 了 你家 的 东西 晚上 没 吃 今天 一直 拉肚子	0
生意 一如既往 还是 很 好 来 过 很 多次 味道 还是 一样 的 好 就是 吃 了 身上 味道 有点 大 老板 服务态度 很 好 有 机会 再 来	1
咖啡 很 好喝 服务态度 也 很 好	1
好 几次 来 吃 了 每次 都 吃 撑 了 回家	1
吃 了 好 几次 了 每次 配菜 都 感觉 有点 馊 但是 饭 还 可以 这次 吃 感觉 到 所有 菜饭 都 是 馊 的 以后 不点 了	0
位置 好找 分量 足 非常 好吃 速度 快	1
团购 很 划算 环境 很 舒服 味道 不错 下次 再 来	1
垃圾 热过 的 不 新鲜 也 不 保温 下次 再 发现 就 再 不 买 了 操 你 妈	0
我 想 问 为什么 有虫 吃 到 最后 真的 好 恶心	0
好吃 不 贵 经济 实惠 下次 还会来 会带 朋友 过来 吃 服务态度 也 超好	1
其实 是 习惯性 给 好评 的 但是 这次 居然 有 蚊虫 在 汉堡 里面 点 的 金米 鸡条 也 送 的 是 其他 东西 之前 在 他家 买过 几次 每次 没 纸巾 辣椒粉 也 是 随机 给 口味 其实 是 可以 的 但是 这个 对待 外卖 的 态度 也 不敢恭维 今天 特别 饿 结果 看到 虫 什么 胃口 也 没 了 也 没 打电话 联系 商家 了 以后 再也 不 点 他家	0
还是 一如既往 的 好 就是 难得 等	1
口味 非常 好 是 重庆 地道 的 老 火锅 服务 也 不错 年轻化 的 团队 下次 来 重庆 北站 一定 来 品尝 价格 也 非常 实惠 喔	1
第一 汤 是 冷 的 第二 吃 了 晚上 呕吐 惨 了 心肝 脾肺 肾 都 要 吐出来 了 不 知道 是 什么 饭菜 卫不 卫生 十分 不 舒服 不 知道 是不是 食物中毒 了	0
很 好找 味道 好吃 分量 足够 还有 免费 的 小 汤圆 吃 太爽 啦 服务 也 很棒	1
我 的 个 去 本想 印象 还 多 好 的 结果 饮料 都 快 喝完 了 才 发现 杯子 里面 有个 虫 巴起 我 也 是 醉 了	0
筷子 是 坏 的 有 份饭 里 有 头发	0
好吃 还会 再 来 的 上菜 也 快 非常 满意	1
很棒 的 小店 老板 人 很 好 有 歌手 唱歌 可以 看到 观音桥 的 夜景 很 棒棒 哦 在 吧台 坐 老板 还会 跟 你 聊天	1
鱼 不 新鲜 吃 了 拉肚子	0
蛋糕 很 好吃 服务员 态度 很 好 棒棒 哒	1
本来 说 便宜 半价 买 一个 不送 直接 买 了 两个 结果 宝宝 吃 了 说 不 喜欢 我 想 浪费 自己 多吃些 吧 中午 吃 了 三角 还是 四角 晚饭 前 又 吃 了 两角 到 六七点 就 开始 拉肚子 而且 肚子 很痛 后来 看 医生 说 可能 太油 吃 的 多 消化不良	0
排骨 真的 很 好吃 原味 没加 佐料 才 出来 的 时候 简直 不能 再香 了 冷 了 吃 起 也 不会 腻	1
真的 是 超级 满意 我 特别 喜欢 吃 这家 的 猪蹄 饭 团购 的话 才 块 毛钱 你 去 实体店 给钱 划算 的 多 之前 开业 的 时候 没有 团购 但是 我 还是 去 吃 了 很 多次 环境 也 还是 挺不错 的 比较 干净 上菜 速度 的话 非常 的 快 菜量 也 比较 合适 希望 商家 可以 一直 做 团购 的 活动 也 可以 推出 一些 新 的 菜品	1
味道 相当 的 不错 而且 服务 很 周到 因为 来得 挺 早 的 然后 和 闺蜜 两个 人 使劲 的 拿 菜 吃 菜品 种类 也 很 丰富 喜欢 的 都 有 特别 喜欢 吃 这儿 的 培根 烤 了 之后 粘 海椒 面 味道 那 是 相当 的 好 而且 这儿 的 甜品 蛋糕 也 很 好吃 特别 是 双皮奶 爱死 它 了	1
蚊子 巴到 馄炖 上面 搞 撒子 哟 好 恶心	0
饭菜 都 有 一股 酸 臭味	0
里面 看到 一只 像 蜜蜂 的 变异 昆虫 真的 难受 硬着头皮 把 吃 的 全部 吐 了 出来 很 难受	0
为什么 袋子 里面 有 脏水 巨臭	0
吃 了 拉肚子 一点 当地 重庆 味道 都 没有	0
很 不错 的 体验 越来越 擅长 找 这种 隐藏 的 小店 了	1
